date,order_id,sku,category,channel,orders,revenue,year,month
2021-04-09,149866,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Débito,1,31.92,2021,4
2022-07-26,174914,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Cartão Débito,1,,2022,7
2023-12-25,211331,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Boleto Bancário,1,236.6,2023,12
2024-03-01,270950,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Cartão Débito,1,,2024,3
2021-04-18,105854,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Boleto Bancário,1,30.59,2021,4
2022-12-29,168160,Vitamina E Granulado BigForce,Medicamento,Pix,1,,2022,12
2020-12-21,87867,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Crédito,1,16.8,2020,12
2022-09-11,193167,Bandana Disney Mickey Fábrica Petti ,Acessório,Dinheiro,1,,2022,9
2023-10-13,218415,Vitamina E Granulado BigForce,Medicamento,Boleto Bancário,1,81.9,2023,10
2020-01-17,70202,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Boleto Bancário,1,658.56,2020,1
2024-03-03,253627,Meias esportivas para cães para ambientes internos e externos,Acessório,Pix,1,,2024,3
2024-01-18,245926,Bola Pet Vinil Big Blue,Brinquedo,Dinheiro,1,,2024,1
2021-08-07,134174,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Boleto Bancário,1,1178.38,2021,8
2023-02-03,201711,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Boleto Bancário,1,273.0,2023,2
2020-08-03,79423,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Débito,1,28.0,2020,8
2024-04-02,264953,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Cartão Débito,1,,2024,4
2022-09-30,169193,Biscoito  True Champion 300g,Alimentação,Boleto Bancário,1,,2022,9
2023-10-17,208340,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Crédito,1,156.0,2023,10
2024-04-05,238718,Bola Pet Vinil Big Blue,Brinquedo,Cartão Crédito,1,,2024,4
2021-08-16,143025,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Cartão Crédito,1,736.82,2021,8
2024-01-11,267682,Vitamina E Granulado BigForce,Medicamento,Boleto Bancário,1,,2024,1
2024-01-30,244472,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Pix,1,,2024,1
2024-01-24,240217,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Dinheiro,1,,2024,1
2022-09-12,167551,Roupa para Cão Billaboard,Acessório,Boleto Bancário,1,,2022,9
2024-03-27,275370,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Cartão Crédito,1,,2024,3
2021-09-26,125424,Biscoito  True Champion 300g,Alimentação,Cartão Crédito,1,23.94,2021,9
2024-01-20,238036,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Crédito,1,,2024,1
2023-10-14,203394,Roupa para Gato Petti,Acessório,Pix,1,36.4,2023,10
2020-10-16,90030,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Pix,1,73.92,2020,10
2023-07-16,225978,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Cartão Débito,1,7403.5,2023,7
2023-07-17,214380,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Boleto Bancário,1,96.2,2023,7
2022-04-25,188515,Roupa para Gato Petti,Acessório,Cartão Crédito,1,,2022,4
2021-06-08,124309,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,17.29,2021,6
2021-09-20,125324,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Dinheiro,1,99.75,2021,9
2020-09-25,91937,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Crédito,1,899.36,2020,9
2023-03-24,221529,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Pix,1,390.0,2023,3
2020-01-07,86600,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Dinheiro,1,109.76,2020,1
2021-07-07,110611,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Cartão Crédito,1,353.78,2021,7
2022-05-02,162725,Roupa para Gato Petti,Acessório,Cartão Débito,1,,2022,5
2023-05-13,213669,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Dinheiro,1,37.7,2023,5
2024-01-11,263378,Penas Gatito,Brinquedo,Cartão Crédito,1,,2024,1
2023-04-01,201444,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Débito,1,132.6,2023,4
2020-02-02,94157,Vitamina E Granulado BigForce,Medicamento,Dinheiro,1,238.56,2020,2
2022-01-13,152425,Bola Pet Vinil Big Blue,Brinquedo,Cartão Crédito,1,,2022,1
2021-05-10,142843,Bola Pet Vinil Big Blue,Brinquedo,Dinheiro,1,29.26,2021,5
2022-08-23,172889,Mordedor de Corda Bola,Brinquedo,Cartão Crédito,1,,2022,8
2022-02-14,171826,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Cartão Débito,1,,2022,2
2023-06-29,221972,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,28.6,2023,6
2021-12-08,121003,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Pix,1,885.78,2021,12
2020-01-13,77315,Roupa para Gato Petti,Acessório,Pix,1,33.6,2020,1
2022-07-20,158924,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Crédito,1,,2022,7
2022-02-14,159468,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Crédito,1,,2022,2
2023-05-06,207345,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Dinheiro,1,2861.3,2023,5
2021-07-31,109724,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Cartão Débito,1,74.48,2021,7
2022-03-08,200216,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Dinheiro,1,,2022,3
2024-01-18,268148,Cama média almofadada Pity,Acessório,Pix,1,,2024,1
2023-04-16,223059,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Boleto Bancário,1,75.4,2023,4
2022-08-18,152131,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Crédito,1,,2022,8
2021-11-27,114108,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,29.26,2021,11
2021-01-17,127110,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Cartão Crédito,1,46.55,2021,1
2020-08-23,68140,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Cartão Débito,1,100.8,2020,8
2021-04-06,126614,Biscoito  True Champion 300g,Alimentação,Cartão Débito,1,148.96,2021,4
2022-02-24,153540,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Boleto Bancário,1,,2022,2
2022-12-19,179576,Vitamina E Granulado BigForce,Medicamento,Pix,1,,2022,12
2024-01-14,241624,Meias esportivas para cães para ambientes internos e externos,Acessório,Pix,1,,2024,1
2024-04-03,257103,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Cartão Débito,1,,2024,4
2021-02-22,112498,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Dinheiro,1,38.57,2021,2
2022-03-13,157375,Vitamina E Granulado BigForce,Medicamento,Boleto Bancário,1,,2022,3
2021-02-03,126930,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Dinheiro,1,58.52,2021,2
2022-07-05,181787,Biscoito  True Champion 300g,Alimentação,Cartão Crédito,1,,2022,7
2023-11-18,213496,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Débito,1,41.6,2023,11
2024-01-18,265182,Penas Gatito,Brinquedo,Cartão Crédito,1,,2024,1
2020-08-10,53490,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Dinheiro,1,69.44,2020,8
2020-02-09,51079,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Cartão Débito,1,76.16,2020,2
2021-04-02,118622,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Cartão Crédito,1,268.66,2021,4
2021-01-12,117828,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Pix,1,731.5,2021,1
2022-04-30,166990,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Cartão Crédito,1,,2022,4
2020-04-12,59031,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Dinheiro,1,32.48,2020,4
2023-08-24,221066,Penas Gatito,Brinquedo,Pix,1,18.2,2023,8
2021-01-03,130855,Cama média almofadada Pity,Acessório,Boleto Bancário,1,67.83,2021,1
2024-03-18,251777,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Dinheiro,1,,2024,3
2024-03-25,231576,Penas Gatito,Brinquedo,Boleto Bancário,1,,2024,3
2022-12-13,163291,Mordedor de Corda Bola,Brinquedo,Pix,1,,2022,12
2020-06-29,51919,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Débito,1,36.96,2020,6
2024-03-14,259134,Bola Pet Vinil Big Blue,Brinquedo,Boleto Bancário,1,,2024,3
2021-07-29,116967,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Boleto Bancário,1,119.7,2021,7
2024-02-15,233289,Biscoito  True Champion 300g,Alimentação,Cartão Crédito,1,,2024,2
2020-07-17,81545,Roupa para Cão Billaboard,Acessório,Dinheiro,1,48.16,2020,7
2022-08-24,155741,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Crédito,1,,2022,8
2022-07-09,177628,Bola Pet Vinil Big Blue,Brinquedo,Dinheiro,1,,2022,7
2021-04-04,126487,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Boleto Bancário,1,7.98,2021,4
2024-01-04,269448,Bandana Disney Mickey Fábrica Petti ,Acessório,Dinheiro,1,,2024,1
2023-01-20,205098,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Boleto Bancário,1,118.3,2023,1
2022-04-11,189918,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Cartão Crédito,1,,2022,4
2024-04-02,256940,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Cartão Débito,1,,2024,4
2021-11-14,107046,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Cartão Débito,1,131.67,2021,11
2024-02-05,240691,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Boleto Bancário,1,,2024,2
2023-08-30,210718,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Cartão Débito,1,288.6,2023,8
2021-05-17,135267,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Dinheiro,1,27.93,2021,5
2021-01-01,137777,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Pix,1,1045.38,2021,1
2020-06-23,64521,Meias esportivas para cães para ambientes internos e externos,Acessório,Boleto Bancário,1,36.96,2020,6
2021-07-03,135330,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Cartão Crédito,1,55.86,2021,7
2022-05-19,177393,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Cartão Débito,1,,2022,5
2020-03-10,88754,Vitamina E Granulado BigForce,Medicamento,Dinheiro,1,78.4,2020,3
2022-04-29,158572,Vitamina E Granulado BigForce,Medicamento,Dinheiro,1,,2022,4
2024-02-25,250514,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Pix,1,,2024,2
2020-10-06,89176,Bandana Disney Mickey Fábrica Petti ,Acessório,Dinheiro,1,13.44,2020,10
2022-06-09,166906,Roupa para Gato Petti,Acessório,Pix,1,,2022,6
2023-07-30,213283,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,31.2,2023,7
2021-10-14,135103,Penas Gatito,Brinquedo,Cartão Crédito,1,19.95,2021,10
2020-03-15,85721,Roupa para Gato Petti,Acessório,Cartão Débito,1,42.56,2020,3
2020-08-12,56558,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Boleto Bancário,1,742.56,2020,8
2022-05-12,195112,Roupa para Gato Petti,Acessório,Pix,1,,2022,5
2021-12-01,147903,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Pix,1,41.23,2021,12
2023-11-29,216427,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Cartão Débito,1,123.5,2023,11
2022-11-28,174944,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Débito,1,,2022,11
2024-02-05,268811,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Crédito,1,,2024,2
2024-02-26,233906,Biscoito  True Champion 300g,Alimentação,Boleto Bancário,1,,2024,2
2022-05-01,175708,Meias esportivas para cães para ambientes internos e externos,Acessório,Dinheiro,1,,2022,5
2022-05-21,176043,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Cartão Débito,1,,2022,5
2021-11-03,105433,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Crédito,1,77.14,2021,11
2021-10-28,129645,Bola Pet Vinil Big Blue,Brinquedo,Boleto Bancário,1,27.93,2021,10
2021-01-22,138533,Meias esportivas para cães para ambientes internos e externos,Acessório,Boleto Bancário,1,85.12,2021,1
2020-11-28,81700,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Dinheiro,1,72.8,2020,11
2023-09-29,212899,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Dinheiro,1,114.4,2023,9
2024-02-15,248699,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Dinheiro,1,,2024,2
2021-10-11,129082,Penas Gatito,Brinquedo,Dinheiro,1,93.1,2021,10
2020-03-13,50401,Roupa para Gato Petti,Acessório,Cartão Débito,1,47.04,2020,3
2021-07-08,111043,Bola Pet Vinil Big Blue,Brinquedo,Pix,1,29.26,2021,7
2022-12-30,173966,Bandana Disney Mickey Fábrica Petti ,Acessório,Cartão Crédito,1,,2022,12
2020-07-07,90838,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Boleto Bancário,1,69.44,2020,7
2023-12-29,206674,Mordedor de Corda Bola,Brinquedo,Cartão Crédito,1,14.3,2023,12
2020-01-06,62794,Biscoito  True Champion 300g,Alimentação,Boleto Bancário,1,47.04,2020,1
2021-06-07,104722,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Boleto Bancário,1,90.44,2021,6
2023-02-16,213823,Biscoito  True Champion 300g,Alimentação,Cartão Débito,1,54.6,2023,2
2021-03-24,111073,Cama média almofadada Pity,Acessório,Boleto Bancário,1,74.48,2021,3
2022-09-04,163092,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Dinheiro,1,,2022,9
2020-03-29,85020,Bola Pet Vinil Big Blue,Brinquedo,Pix,1,80.64,2020,3
2022-10-16,169889,Mordedor de Corda Bola,Brinquedo,Cartão Débito,1,,2022,10
2021-05-07,121907,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,29.26,2021,5
2020-04-17,61994,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Dinheiro,1,100.8,2020,4
2021-12-26,115194,Bandana Disney Mickey Fábrica Petti ,Acessório,Pix,1,23.94,2021,12
2024-02-28,249883,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Boleto Bancário,1,,2024,2
2024-01-08,239167,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Boleto Bancário,1,,2024,1
2024-01-19,246405,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Cartão Crédito,1,,2024,1
2020-04-20,54379,Biscoito  True Champion 300g,Alimentação,Cartão Débito,1,47.04,2020,4
2022-12-07,170031,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Boleto Bancário,1,,2022,12
2021-03-04,144582,Bandana Disney Mickey Fábrica Petti ,Acessório,Pix,1,31.92,2021,3
2021-11-17,104338,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Débito,1,43.89,2021,11
2024-04-04,227998,Mordedor de Corda Bola,Brinquedo,Dinheiro,1,,2024,4
2022-11-27,154970,Vitamina E Granulado BigForce,Medicamento,Boleto Bancário,1,,2022,11
2024-01-01,261848,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Boleto Bancário,1,,2024,1
2022-10-17,155856,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Débito,1,,2022,10
2020-09-02,93963,Bandana Disney Mickey Fábrica Petti ,Acessório,Dinheiro,1,26.88,2020,9
2024-04-01,226198,Penas Gatito,Brinquedo,Cartão Crédito,1,,2024,4
2020-09-10,92560,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Dinheiro,1,725.76,2020,9
2020-03-25,62723,Meias esportivas para cães para ambientes internos e externos,Acessório,Dinheiro,1,71.68,2020,3
2022-07-23,167376,Bandana Disney Mickey Fábrica Petti ,Acessório,Cartão Débito,1,,2022,7
2023-04-13,214378,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Boleto Bancário,1,37.7,2023,4
2022-02-10,185586,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Pix,1,,2022,2
2022-10-01,172644,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Dinheiro,1,,2022,10
2020-10-23,92955,Vitamina E Granulado BigForce,Medicamento,Dinheiro,1,184.8,2020,10
2022-02-14,180272,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Cartão Crédito,1,,2022,2
2024-01-30,248094,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Cartão Débito,1,,2024,1
2021-05-05,134728,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Boleto Bancário,1,85.12,2021,5
2020-02-06,68081,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Cartão Crédito,1,40.32,2020,2
2022-12-07,179252,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Dinheiro,1,,2022,12
2023-09-01,224793,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Cartão Débito,1,50.7,2023,9
2023-07-27,218039,Bola Pet Vinil Big Blue,Brinquedo,Cartão Crédito,1,28.6,2023,7
2023-09-23,224488,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Pix,1,46.8,2023,9
